Frame,HOG
pruebaC-10168.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10169.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10170.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10171.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10172.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10173.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10174.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10175.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10176.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10177.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10178.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10179.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10180.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10181.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10182.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10183.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10184.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10185.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10186.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10187.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10188.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10189.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10190.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10191.png,[0.         0.         0.         ... 0.00010426 0.00023211 0.01711339]
pruebaC-10192.png,[0.         0.         0.         ... 0.0001021  0.0002273  0.01675845]
pruebaC-10193.png,[0.         0.         0.         ... 0.         0.         0.02754562]
pruebaC-10194.png,[0.         0.         0.         ... 0.         0.         0.02779951]
pruebaC-10195.png,[0.         0.         0.         ... 0.         0.         0.02788776]
pruebaC-10196.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10197.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10198.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10199.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10200.png,[0.         0.         0.         ... 0.         0.         0.00165342]
pruebaC-10201.png,[0.         0.         0.         ... 0.         0.         0.00121515]
pruebaC-10202.png,[0.         0.         0.         ... 0.         0.         0.00130687]
pruebaC-10203.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10204.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10205.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10206.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10207.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10208.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10209.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10210.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10211.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10212.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10213.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10214.png,[0.         0.         0.         ... 0.         0.         0.00170931]
pruebaC-10215.png,[0.         0.         0.         ... 0.         0.         0.00216157]
pruebaC-10216.png,[0.         0.         0.         ... 0.         0.         0.00170771]
pruebaC-10217.png,[0.         0.         0.         ... 0.         0.         0.00563193]
pruebaC-10218.png,[0.         0.         0.         ... 0.         0.         0.00716365]
pruebaC-10219.png,[0.         0.         0.         ... 0.         0.         0.01662105]
pruebaC-10220.png,[0.         0.         0.         ... 0.         0.         0.00846345]
pruebaC-10221.png,[0.         0.         0.         ... 0.         0.         0.00825629]
pruebaC-10222.png,[0.         0.         0.         ... 0.         0.         0.00825629]
pruebaC-10223.png,[0.         0.         0.         ... 0.         0.         0.00827987]
pruebaC-10224.png,[0.         0.         0.         ... 0.01061122 0.00354608 0.2097477 ]
pruebaC-10225.png,[0.         0.         0.         ... 0.00682658 0.00241565 0.13766624]
pruebaC-10226.png,[0.         0.         0.         ... 0.00681473 0.00241146 0.13742727]
pruebaC-10227.png,[0.        0.        0.        ... 0.        0.        0.3529295]
pruebaC-10228.png,[0.         0.         0.         ... 0.         0.         0.35259745]
